mem_mib,k,rep,call_idx,call_time_ms
64,10,11,8,73.149230
64,10,11,9,71.694245
64,10,11,10,71.033499
64,10,12,1,72.436830
64,10,12,2,72.355878
64,10,12,3,71.111168
64,10,12,4,71.738463
64,10,12,5,72.674277
64,10,12,6,73.132755
64,10,12,7,74.074380
64,10,12,8,72.733153
64,10,12,9,72.755305
64,10,12,10,72.010008
64,10,13,1,72.645624
64,10,13,2,72.592748
64,10,13,3,72.822612
64,10,13,4,72.184619
64,10,13,5,70.452561
64,10,13,6,70.987916
64,10,13,7,71.275529
64,10,13,8,70.597269
64,10,13,9,72.170491
64,10,13,10,72.080032
64,10,14,1,72.739633
64,10,14,2,71.399092
64,10,14,3,74.002796
64,10,14,4,73.702013
64,10,14,5,72.170802
64,10,14,6,72.350925
64,10,14,7,71.257511
64,10,14,8,76.052303
64,10,14,9,71.609480
64,10,14,10,71.504259
64,10,15,1,71.247644
64,10,15,2,74.716550
64,10,15,3,72.875684
64,10,15,4,72.511867
64,10,15,5,71.085350
64,10,15,6,76.378319
64,10,15,7,71.548605
64,10,15,8,72.825824
64,10,15,9,71.502244
64,10,15,10,71.926130
64,10,16,1,69.955666
64,10,16,2,71.975407
64,10,16,3,71.160858
64,10,16,4,70.538406
64,10,16,5,70.954816
64,10,16,6,71.746960
64,10,16,7,72.265106
64,10,16,8,72.786589
64,10,16,9,71.985654
64,10,16,10,71.824390
64,10,17,1,71.610912
64,10,17,2,72.457579
64,10,17,3,70.040352
64,10,17,4,70.504941
64,10,17,5,71.824757
64,10,17,6,70.891023
64,10,17,7,71.070314
64,10,17,8,73.992796
64,10,17,9,72.111397
64,10,17,10,71.035465
64,10,18,1,84.868189
64,10,18,2,72.257043
64,10,18,3,72.215571
64,10,18,4,70.779545
64,10,18,5,70.592041
64,10,18,6,69.875155
64,10,18,7,70.681955
64,10,18,8,72.645915
64,10,18,9,71.129501
64,10,18,10,71.288651
64,10,19,1,72.016296
64,10,19,2,72.348547
64,10,19,3,70.915355
64,10,19,4,70.261798
64,10,19,5,72.460918
64,10,19,6,73.061585
64,10,19,7,71.404311
64,10,19,8,70.445327
64,10,19,9,72.016564
64,10,19,10,71.891579
64,10,20,1,72.350673
64,10,20,2,72.382691
64,10,20,3,71.890151
64,10,20,4,70.510431
64,10,20,5,71.895135
