k,rep,call_idx,call_time_ms
10,30,5,1220.563224
10,30,6,1230.000496
10,30,7,1219.195266
10,30,8,1201.650611
10,30,9,1222.608140
10,30,10,1208.280593
10,31,1,1208.357923
10,31,2,1201.959950
10,31,3,1205.118643
10,31,4,1210.222776
10,31,5,1204.000731
10,31,6,1220.483326
10,31,7,1204.797559
10,31,8,1224.340504
10,31,9,1205.247517
10,31,10,1206.841509
10,32,1,1214.824630
10,32,2,1219.299263
10,32,3,1214.886401
10,32,4,1211.491463
10,32,5,1212.651497
10,32,6,1216.173440
10,32,7,1224.998502
10,32,8,1220.054477
10,32,9,1213.325615
10,32,10,1213.144542
10,33,1,1242.998648
10,33,2,1206.326557
10,33,3,1235.085627
10,33,4,1209.818559
10,33,5,1212.733967
10,33,6,1220.600057
10,33,7,1206.817521
10,33,8,1215.757327
10,33,9,1215.127043
10,33,10,1203.865618
10,34,1,1247.079573
10,34,2,1206.070610
10,34,3,1209.099398
10,34,4,1205.585551
10,34,5,1219.749860
10,34,6,1205.752185
10,34,7,1202.389559
10,34,8,1207.303219
10,34,9,1207.912970
10,34,10,1205.733564
10,35,1,1215.331109
10,35,2,1211.377399
10,35,3,1201.062347
10,35,4,1212.530887
10,35,5,1209.001861
10,35,6,1209.584711
10,35,7,1208.835941
10,35,8,1213.808051
10,35,9,1209.644646
10,35,10,1217.693318
10,36,1,1218.033529
10,36,2,1222.564043
10,36,3,1205.899433
10,36,4,1209.374917
10,36,5,1207.688888
10,36,6,1204.591234
10,36,7,1205.046819
10,36,8,1214.593361
10,36,9,1220.777643
10,36,10,1210.859090
10,37,1,1200.115184
10,37,2,1216.481949
10,37,3,1217.087390
10,37,4,1204.954924
10,37,5,1207.910418
10,37,6,1203.843909
10,37,7,1205.536062
10,37,8,1216.020009
10,37,9,1201.389594
10,37,10,1219.975421
10,38,1,1216.501125
10,38,2,1202.047485
10,38,3,1214.390055
10,38,4,1201.671501
10,38,5,1209.299856
10,38,6,1219.623329
10,38,7,1206.754143
10,38,8,1214.019081
10,38,9,1213.924929
10,38,10,1219.135490
10,39,1,1217.283884
10,39,2,1218.174985
10,39,3,1208.920654
10,39,4,1212.210108
10,39,5,1204.948123
10,39,6,1201.169609
10,39,7,1210.477104
10,39,8,1208.969845
10,39,9,1204.546428
10,39,10,1212.853556
10,40,1,1225.925151
10,40,2,1218.105524
10,40,3,1208.965707
10,40,4,1201.040999
10,40,5,1204.399237
10,40,6,1210.987350
10,40,7,1214.869434
10,40,8,1210.500011
10,40,9,1220.370151
10,40,10,1210.645560
10,41,1,1224.520929
10,41,2,1206.511639
10,41,3,1205.783729
10,41,4,1227.088853
10,41,5,1211.765306
10,41,6,1210.799073
10,41,7,1207.908777
10,41,8,1227.906924
10,41,9,1206.929121
10,41,10,1203.375502
10,42,1,1215.385760
10,42,2,1230.341283
10,42,3,1220.228988
10,42,4,1206.119947
10,42,5,1207.189360
10,42,6,1218.401252
10,42,7,1223.970595
10,42,8,1206.692668
10,42,9,1211.376724
10,42,10,1215.999421
10,43,1,1216.982893
10,43,2,1230.737061
10,43,3,1221.866778
10,43,4,1218.543244
10,43,5,1209.783555
10,43,6,1210.799964
10,43,7,1204.460643
10,43,8,1205.692833
10,43,9,1205.556566
10,43,10,1208.879378
10,44,1,1216.910442
10,44,2,1208.884801
10,44,3,1221.736448
10,44,4,1212.739521
10,44,5,1224.183599
10,44,6,1207.370805
10,44,7,1223.580109
10,44,8,1208.797770
10,44,9,1207.770827
10,44,10,1222.757845
10,45,1,1222.673936
10,45,2,1209.961819
10,45,3,1205.172351
10,45,4,1223.976914
10,45,5,1293.794400
10,45,6,1230.419055
10,45,7,1213.618406
10,45,8,1204.206104
